"Symbol ","CA ","Today","Open","High","Low","LTP","Chng","% Chng ","Volume 

(lacs)","Turnover 

(crs.)","52w H","52w L","Past 
365 Days","365 d 
% chng ","Past 
30 Days","30 d 
% chng "
"NIFTY 50","","","10,986.80","11,084.45","10,945.75","11,075.90","93.10","0.85","6,243.04
624.30 ","18,012.51
180.13 ","12,103.05","10,004.55","","-2.59","","1.37"
"BPCL","","","385.50","412.00","377.40","408.70","24.50","6.38","127.77
12.78 ","509.76
5.10","421.70","238.55","","22.31","","19.12"
"IOC","","","125.30","131.00","123.75","130.40","6.00","4.82","255.27
25.53 ","324.39
3.24","170.75","105.25","","-12.54","","3.57"
"TITAN","","","1,088.10","1,126.50","1,088.10","1,124.10","38.00","3.50","34.28
3.43 ","381.95
3.82","1,340.90","732.30","","36.02","","5.66"
"GAIL","","","125.75","129.95","123.65","129.35","3.60","2.86","83.73
8.37 ","106.26
1.06","197.28","119.50","","-65.05","","2.66"
"VEDL","","","146.00","150.15","143.55","149.50","4.05","2.78","73.64
7.36 ","107.89
1.08","246.90","125.30","","-33.14","","6.98"
"ICICIBANK","","","406.80","414.90","400.65","413.70","11.00","2.73","177.75
17.78 ","724.83
7.25","443.90","294.80","","28.12","","0.84"
"ONGC","","","126.25","129.30","125.35","128.95","3.05","2.42","132.51
13.25 ","168.24
1.68","185.40","115.55","","-23.47","","0.94"
"HINDALCO","","","196.65","201.90","195.20","201.30","4.20","2.13","64.73
6.47 ","128.00
1.28","259.75","171.10","","-15.38","","14.21"
"JSWSTEEL","","","222.05","227.60","219.10","226.50","4.45","2.00","86.39
8.64 ","192.32
1.92","427.55","201.75","","-43.34","","2.88"
"KOTAKBANK","","","1,457.00","1,486.00","1,447.20","1,482.85","25.30","1.74","17.68
1.77 ","260.65
2.61","1,555.90","1,002.20","","20.52","","-1.89"
"SBIN","","","285.00","292.50","282.00","291.90","4.85","1.69","273.03
27.30 ","782.29
7.82","373.80","247.40","","2.31","","3.02"
"INFY","","","818.10","831.05","817.50","829.80","13.40","1.64","48.32
4.83 ","398.25
3.98","847.00","599.85","","11.70","","8.51"
"AXISBANK","","","663.55","675.40","657.05","673.80","10.90","1.64","121.06
12.11 ","806.16
8.06","827.75","534.55","","6.04","","3.75"
"UPL","","","570.00","580.00","559.35","576.35","9.05","1.60","26.36
2.64 ","149.74
1.50","709.05","388.10","","-18.09","","14.56"
"ZEEL","","","348.85","352.80","343.60","351.70","5.30","1.53","33.30
3.33 ","116.21
1.16","506.90","288.30","","-24.18","","7.45"
"NTPC","","","122.35","124.30","121.25","124.00","1.75","1.43","75.10
7.51 ","92.38
0.92","146.17","106.67","","-27.06","","5.85"
"POWERGRID","","","199.50","203.00","199.05","202.50","2.85","1.43","40.63
4.06 ","81.76
0.82","216.25","172.50","","4.49","","0.25"
"HCLTECH","","","1,054.90","1,070.00","1,053.90","1,069.55","14.65","1.39","15.46
1.55 ","164.51
1.65","1,187.60","920.00","","-1.59","","-0.28"
"M&M","","","542.00","552.80","541.50","551.05","7.45","1.37","43.59
4.36 ","239.32
2.39","976.70","502.55","","-41.26","","7.54"
"RELIANCE","","","1,212.00","1,228.50","1,206.90","1,226.70","16.35","1.35","59.19
5.92 ","719.99
7.20","1,417.50","1,016.40","","-2.06","","-3.77"
"BAJAJFINSV","","","7,303.95","7,399.75","7,256.00","7,389.00","97.05","1.33","2.14
0.21 ","156.83
1.57","8,580.00","4,955.00","","15.22","","4.23"
"INFRATEL","","","250.75","255.45","249.30","254.00","3.25","1.30","12.68
1.27 ","32.03
0.32","335.00","238.70","","-6.20","","2.98"
"TATAMOTORS","","","129.20","130.95","125.50","129.60","1.65","1.29","690.89
69.09 ","886.41
8.86","269.60","106.00","","-50.61","","6.27"
"BAJFINANCE","","","3,389.00","3,436.00","3,372.50","3,421.00","38.65","1.14","13.28
1.33 ","452.85
4.53","3,762.00","1,912.20","","31.88","","6.18"
"HEROMOTOCO","","","2,742.00","2,785.00","2,718.00","2,771.00","30.25","1.10","8.55
0.86 ","235.88
2.36","3,380.00","2,225.60","","-12.41","","7.96"
